HR,RA(J2000),DEC(J2000),Double.Name,Teff(K),Error_Teff(K),logg,Error_logg,[M/H],Error_[M/H],standard_B,Error_standard_B,standard_G,Error_standard_G,standard_R,Error_standard_R,STC_B,STC_G,STC_R,STC_L,Parallax
5350,214.0413747,51.3672297,---,7929,53,3.995,0.092,0.151,0.2,4.733,0.011,4.73,0.009,4.769,0.01,4.7936,4.734,4.8006,3.9144,33.8856
8905,351.3449314,23.4041003,---,5895,34,3.197,0.161,-0.182,0.067,4.649,0.01,4.433,0.009,4.29,0.009,4.7884,4.4538,4.2426,3.6338,18.7061
3860,143.4724003,-80.9412594,---,15655,1024,4.466,0.036,-2.0,1.853,4.815,0.013,4.973,0.013,5.146,0.014,4.7875,4.9614,5.2364,4.1023,5.7
3475,131.6665883,28.7650536,---,4974,41,2.458,0.541,0.049,0.128,4.547,0.012,4.131,0.011,3.846,0.009,4.7868,4.1759,3.7509,3.3328,9.4124
4072,156.0326919,65.5664233,---,10213,77,4.0,0.028,0.5,0.0,4.787,0.009,4.905,0.009,5.043,0.009,4.7863,4.8994,5.1183,4.0514,9.6318
5105,203.5330494,3.658965,---,9353,33,4.064,0.056,0.5,0.0,4.765,0.009,4.855,0.01,4.973,0.011,4.7854,4.8527,5.0397,4.015,17.65
5868,236.6108925,7.3530681,---,6092,48,4.23,0.154,0.202,0.087,4.64,0.014,4.431,0.011,4.292,0.01,4.7849,4.4524,4.2481,3.6342,83.9214
531,27.3962631,-10.6864075,---,7167,78,3.9,0.118,0.097,0.164,4.702,0.012,4.631,0.01,4.606,0.009,4.7838,4.6402,4.6084,3.8219,42.5848
2244,93.9370236,-13.7184147,---,10808,58,3.846,0.092,0.5,0.0,4.795,0.01,4.925,0.011,5.071,0.011,4.7818,4.9181,5.1489,4.064,8.1556
2047,88.5957625,20.2761728,---,5965,44,4.543,0.352,-0.034,0.095,4.635,0.01,4.413,0.007,4.266,0.007,4.7814,4.4353,4.2175,3.6158,115.43
5971,240.3606869,29.8510622,---,10643,116,4.039,0.095,0.5,0.0,4.785,0.009,4.911,0.009,5.055,0.01,4.7787,4.9048,5.1328,4.0538,8.7701
5543,223.2128072,-37.8031631,---,16097,723,4.5,0.093,0.5,1.39,4.814,0.012,4.989,0.012,5.171,0.013,4.7776,4.9773,5.2657,4.1096,6.63
6254,252.3092425,45.9833228,---,8865,64,4.015,0.035,0.5,0.349,4.742,0.008,4.81,0.008,4.909,0.01,4.7766,4.81,4.9679,3.9783,18.1
590,30.5754528,54.4875414,---,11113,95,3.63,0.133,0.5,0.244,4.795,0.011,4.931,0.01,5.078,0.011,4.7745,4.9228,5.1569,4.065,4.0763
5586,225.2431256,-8.5189461,---,9840,88,4.0,0.043,0.0,0.406,4.767,0.009,4.872,0.009,5.003,0.01,4.7741,4.8665,5.0745,4.0243,9.2824
3461,131.1712467,18.1543064,---,4699,35,2.666,0.336,0.084,0.139,4.512,0.009,4.042,0.01,3.709,0.01,4.7734,4.1,3.597,3.2301,23.8271
8892,350.7426086,-20.1005822,---,4547,29,2.264,0.398,-0.318,0.182,4.512,0.009,4.029,0.009,3.689,0.008,4.7728,4.0866,3.5718,3.2129,19.8558
3024,115.4552542,-72.6060992,---,4608,28,2.543,0.482,-0.5,0.1,4.528,0.01,4.078,0.009,3.761,0.009,4.772,4.1303,3.6499,3.2648,23.13
