HR,RA(J2000),DEC(J2000),Double.Name,Teff(K),Error_Teff(K),logg,Error_logg,[M/H],Error_[M/H],standard_B,Error_standard_B,standard_G,Error_standard_G,standard_R,Error_standard_R,STC_B,STC_G,STC_R,STC_L,Parallax
1922,83.4063219,-62.4898247,---,5254,97,1.507,0.199,-0.087,0.186,4.148,0.014,3.794,0.008,3.557,0.012,4.3641,3.8289,3.4774,3.0036,2.9308
6285,254.6550508,-55.9901444,---,3846,85,0.261,0.454,-0.5,0.697,4.004,0.013,3.23,0.014,2.687,0.014,4.3621,3.3431,2.5087,2.3366,6.71
3994,152.6469861,-12.3540817,---,4978,40,2.564,0.585,0.337,0.2,4.11,0.008,3.673,0.008,3.369,0.008,4.362,3.7228,3.2699,2.8723,30.0232
343,17.7756761,55.1499019,---,8040,49,3.642,0.079,0.377,0.222,4.308,0.01,4.33,0.009,4.385,0.011,4.3615,4.3334,4.4244,3.5084,23.8844
3705,140.2637531,34.3925625,---,3773,18,0.795,0.134,-0.742,0.479,4.015,0.016,3.255,0.01,2.698,0.008,4.3606,3.378,2.5154,2.346,14.7042
1346,64.9483494,15.6276431,---,4935,27,2.763,0.419,0.065,0.123,4.12,0.008,3.702,0.007,3.412,0.008,4.36,3.7491,3.3146,2.901,20.19
9098,0.9349494,-17.3359922,---,9905,51,3.646,0.083,0.5,0.371,4.356,0.009,4.472,0.008,4.606,0.009,4.3515,4.4655,4.6782,3.6162,11.98
3642,136.4098958,-70.5384989,---,22070,509,4.369,0.209,-2.0,0.341,4.403,0.014,4.595,0.015,4.795,0.016,4.3513,4.5797,4.8975,3.707,2.4706
4300,165.5823992,20.1798408,---,8998,15,4.0,0.011,0.29,1.112,4.322,0.007,4.397,0.008,4.504,0.008,4.3503,4.3958,4.5655,3.5624,25.73
7936,311.5238858,-25.2708975,---,6652,43,3.942,0.093,-0.058,0.092,4.251,0.013,4.128,0.011,4.056,0.01,4.3495,4.1405,4.0378,3.3211,68.337
1568,74.3216503,53.7521014,---,9302,44,3.5,0.04,0.0,0.371,4.34,0.011,4.438,0.012,4.561,0.013,4.3451,4.4327,4.6278,3.5899,8.77
4848,191.5946442,-56.4888158,---,15113,135,4.294,0.155,0.5,0.0,4.379,0.01,4.548,0.01,4.723,0.011,4.3438,4.5369,4.8153,3.6699,8.48
5652,228.0553761,-19.7917108,---,11821,45,4.319,0.125,0.5,0.0,4.355,0.012,4.494,0.012,4.648,0.013,4.3413,4.4867,4.731,3.6315,8.59
3970,151.2811203,-13.0646267,---,11034,79,4.0,0.083,0.5,0.0,4.353,0.01,4.486,0.011,4.634,0.011,4.3407,4.4788,4.7131,3.6246,10.4
2298,95.9420197,4.5928653,HR2299,7727,56,3.692,0.045,0.0,0.177,4.281,0.009,4.271,0.007,4.302,0.009,4.3401,4.2751,4.329,3.4542,24.0777
6723,270.4383286,1.3050772,---,9115,40,3.717,0.067,0.0,0.161,4.323,0.009,4.41,0.01,4.525,0.01,4.3393,4.4062,4.5893,3.5683,11.15
1084,53.2326872,-9.4582586,---,5048,21,4.827,0.371,-0.062,0.084,4.122,0.011,3.76,0.009,3.482,0.009,4.3387,3.8139,3.3897,2.9475,310.5773
3445,130.1565425,-46.6487436,---,5114,9,0.0,0.0,-2.5,0.0,4.18,0.006,3.854,0.006,3.622,0.006,4.3385,3.8859,3.5363,3.0384,0.67
7570,298.1181989,1.0056583,---,5153,21,0.248,0.133,-1.107,0.146,4.149,0.013,3.806,0.011,3.571,0.009,4.338,3.8397,3.4869,3.0036,3.6715
5404,216.2991542,51.8507436,---,6462,80,4.23,0.135,0.154,0.116,4.22,0.011,4.062,0.009,3.964,0.009,4.338,4.0785,3.9352,3.261,68.82
8260,324.2701278,-19.4660128,---,13882,236,3.0,0.045,0.5,0.0,4.38,0.01,4.54,0.009,4.703,0.01,4.3368,4.5283,4.7877,3.6599,3.09
4897,193.6632608,-59.1467008,---,15785,816,4.285,0.221,-2.0,1.853,4.367,0.012,4.527,0.015,4.701,0.015,4.3365,4.5151,4.7911,3.6545,8.773
437,22.8708761,15.3458247,---,4981,41,2.545,0.52,0.0,0.062,4.1,0.01,3.69,0.01,3.41,0.009,4.3362,3.7344,3.3159,2.8924,9.33
6832,274.4068128,-36.7616853,---,3580,52,0.893,0.097,0.2,0.315,3.975,0.04,3.183,0.016,2.637,0.012,4.3331,3.2907,2.4554,2.2711,23.8859
5475,220.1815325,16.4183247,HR5476,11457,123,4.519,0.131,0.5,0.132,4.338,0.009,4.47,0.009,4.622,0.009,4.3323,4.4639,4.7035,3.6128,10.3357
334,17.1474644,-10.1822658,---,4577,38,2.38,0.41,0.215,0.209,4.051,0.01,3.537,0.009,3.172,0.01,4.3295,3.6034,3.0506,2.7176,27.0603
7602,298.8283022,6.4067617,---,5201,48,4.536,0.372,-0.038,0.1,4.121,0.012,3.78,0.01,3.533,0.01,4.3281,3.8232,3.4493,2.9775,73.5249
2456,100.244415,9.8957564,---,29368,662,5.0,0.0,-2.0,0.001,4.392,0.007,4.607,0.009,4.828,0.01,4.3278,4.5904,4.9414,3.7091,3.55
8315,326.1613967,25.6450378,---,6560,52,3.677,0.127,-0.347,0.127,4.233,0.011,4.11,0.01,4.038,0.009,4.3265,4.1229,4.0173,3.3007,29.22
1934,84.7964431,4.1214664,---,17201,464,4.271,0.273,0.0,0.371,4.364,0.011,4.535,0.012,4.718,0.012,4.3237,4.5226,4.8115,3.6564,2.36
5395,216.5342678,-45.2214256,---,17906,1359,4.389,0.294,0.5,1.853,4.367,0.011,4.551,0.012,4.742,0.012,4.3216,4.5375,4.8416,3.6669,2.99
2852,112.2779953,31.7845492,---,7112,62,3.98,0.075,-0.329,0.164,4.246,0.01,4.175,0.008,4.149,0.008,4.3212,4.1832,4.149,3.3622,55.41
7069,281.7553081,18.1815183,---,8548,45,4.084,0.087,0.5,0.146,4.271,0.01,4.318,0.009,4.399,0.01,4.319,4.3205,4.4499,3.4938,34.9987
5986,240.4722764,58.5652517,---,6328,57,3.755,0.105,0.192,0.121,4.193,0.012,4.022,0.01,3.913,0.01,4.3186,4.0395,3.8807,3.2226,47.54
3981,151.9845292,-0.3716528,---,9609,117,3.561,0.1,0.5,0.371,4.319,0.012,4.428,0.012,4.557,0.014,4.3181,4.4225,4.6271,3.5752,7.6582
5712,230.7889586,-36.8584867,---,16699,1301,4.497,0.085,-2.0,1.853,4.346,0.01,4.51,0.01,4.689,0.011,4.3139,4.4977,4.7813,3.6364,6.28
566,28.9894672,-51.6088978,---,5075,30,3.769,0.622,-0.277,0.098,4.106,0.01,3.749,0.01,3.497,0.009,4.3139,3.789,3.4101,2.9466,56.8508
8695,343.1313964,-32.8755017,---,10009,69,3.856,0.113,0.5,0.0,4.309,0.011,4.424,0.012,4.559,0.013,4.308,4.4185,4.6328,3.5707,14.634
4069,155.5822489,41.4995192,---,3699,54,0.985,0.102,-0.602,0.473,3.957,0.017,3.191,0.01,2.621,0.01,4.3026,3.3203,2.439,2.273,14.16
8523,335.2564469,46.5365683,---,14308,559,4.155,0.183,-2.0,1.853,4.328,0.009,4.478,0.009,4.644,0.01,4.3018,4.4667,4.7297,3.609,5.88
3318,124.6314717,-76.9197211,---,6697,78,3.765,0.151,-0.124,0.17,4.207,0.012,4.093,0.01,4.029,0.009,4.3008,4.1051,4.0134,3.2851,51.3172
1654,76.3652725,-22.3710344,---,4063,14,1.13,0.103,0.0,0.026,3.969,0.012,3.296,0.012,2.819,0.011,4.3008,3.3914,2.662,2.4352,15.29
1409,67.1541617,19.1804292,---,4900,24,2.446,0.425,0.159,0.148,4.049,0.009,3.611,0.009,3.308,0.009,4.2998,3.6603,3.2073,2.8096,22.3654
8988,355.6806031,-14.5449033,---,10310,93,4.284,0.118,0.5,0.0,4.289,0.009,4.404,0.011,4.542,0.012,4.2947,4.399,4.6177,3.5541,20.8948
5781,233.9718669,-44.9583883,---,18030,1252,4.5,0.102,-2.0,1.853,4.329,0.011,4.501,0.012,4.686,0.014,4.2925,4.4884,4.7818,3.6241,7.62
226,12.4535306,41.07891,---,14054,627,4.372,0.218,0.5,1.853,4.318,0.011,4.479,0.011,4.648,0.012,4.2903,4.4692,4.7366,3.6055,5.28
8494,333.7591472,57.0435769,---,7330,40,3.68,0.098,-0.011,0.204,4.211,0.008,4.164,0.008,4.16,0.009,4.2833,4.1707,4.1709,3.3515,38.1598
2985,116.11189,24.3979964,---,5053,25,2.627,0.516,0.035,0.112,4.053,0.01,3.66,0.011,3.39,0.01,4.2825,3.7019,3.2998,2.8629,23.07
3572,134.6217614,11.8577003,---,8248,16,3.548,0.078,0.5,0.0,4.236,0.008,4.279,0.008,4.352,0.009,4.2816,4.2816,4.3982,3.4527,18.3304
7740,303.3494442,56.5677222,---,8223,51,3.587,0.076,-0.693,0.334,4.243,0.007,4.287,0.005,4.364,0.007,4.279,4.2867,4.4099,3.4566,20.48
6028,243.0758536,-27.9263739,---,17102,805,4.557,0.159,0.5,1.446,4.316,0.01,4.496,0.011,4.683,0.012,4.2761,4.4834,4.7811,3.6146,6.7848
1030,51.2033247,9.0288747,---,5082,45,2.491,0.423,-0.089,0.166,4.055,0.014,3.675,0.011,3.417,0.01,4.2761,3.7145,3.3291,2.8791,15.0788
7754,304.5135664,-12.5448522,---,5041,28,3.288,0.481,0.135,0.083,4.043,0.01,3.65,0.011,3.374,0.009,4.2728,3.6954,3.281,2.8491,30.82
165,9.83198,30.8610217,---,4333,45,1.934,0.321,0.2,0.217,3.97,0.013,3.386,0.012,2.969,0.011,4.2724,3.4661,2.8312,2.549,31.5735
1458,68.9135797,10.1607889,---,8017,69,3.809,0.069,-0.089,0.151,4.218,0.012,4.233,0.01,4.286,0.01,4.2694,4.2352,4.323,3.4119,19.5061
9076,359.9790733,-65.5771333,---,10762,46,3.651,0.101,0.5,0.0,4.285,0.01,4.417,0.011,4.562,0.011,4.2693,4.4095,4.6394,3.5539,8.74
2735,107.1765911,-70.4970853,HR2736,4971,39,3.399,0.407,-0.149,0.098,4.045,0.01,3.657,0.007,3.384,0.009,4.2689,3.7016,3.29,2.8539,22.7501
8773,345.9692228,3.8200461,---,13154,759,4.391,0.117,0.5,1.853,4.289,0.01,4.441,0.01,4.604,0.011,4.2665,4.4326,4.691,3.5721,7.99
8694,342.4200706,66.2004067,---,4766,37,2.57,0.558,0.0,0.15,4.011,0.011,3.557,0.012,3.24,0.01,4.266,3.6097,3.1337,2.7505,27.2869
1892,83.8465178,-4.8383578,---,24042,364,5.0,0.277,-2.0,0.278,4.315,0.011,4.511,0.012,4.718,0.013,4.2654,4.4965,4.8243,3.6242,3.69
1473,69.5394289,12.5108358,---,8299,57,3.69,0.061,0.334,0.222,4.221,0.009,4.263,0.008,4.338,0.009,4.2651,4.2652,4.3846,3.4369,22.031
4450,173.2504794,-31.8576231,---,5039,41,3.264,0.669,0.2,0.092,4.028,0.01,3.631,0.01,3.35,0.009,4.2615,3.677,3.2566,2.8294,24.9632
6789,263.0541531,86.5864606,---,9023,62,3.669,0.088,-0.5,0.371,4.242,0.006,4.326,0.007,4.439,0.008,4.2593,4.3219,4.5014,3.4847,18.95
4963,197.4874611,-5.5390053,---,9251,22,3.565,0.069,-0.5,0.282,4.241,0.01,4.336,0.01,4.457,0.01,4.2503,4.3306,4.5223,3.4897,11.1834
1811,81.7092886,3.0956722,---,23971,560,4.739,0.321,-2.0,0.0,4.299,0.013,4.496,0.014,4.703,0.016,4.2464,4.4813,4.8088,3.6075,2.9943
1855,82.9827508,-7.3015381,---,29950,805,5.0,0.309,-2.0,0.0,4.31,0.012,4.527,0.013,4.749,0.015,4.2448,4.5106,4.8638,3.6284,1.14
8579,337.6219169,43.1233767,---,17202,421,4.217,0.187,-0.5,0.371,4.283,0.009,4.452,0.01,4.633,0.011,4.2441,4.4391,4.726,3.5743,1.9
3045,117.3235653,-24.8597861,---,4631,30,1.812,1.009,0.286,0.42,3.953,0.012,3.424,0.01,3.06,0.013,4.2411,3.4866,2.94,2.6111,2.72
3579,135.1599194,41.7829458,---,6619,46,3.991,0.112,0.184,0.119,4.13,0.009,3.995,0.008,3.915,0.009,4.2396,4.01,3.8938,3.1926,62.23
7963,311.8522403,36.490715,---,13102,853,4.098,0.12,0.5,1.853,4.266,0.01,4.42,0.009,4.583,0.011,4.239,4.4112,4.6684,3.5483,4.24
6418,258.7618097,36.8091622,---,4194,53,1.372,0.268,0.246,0.181,3.911,0.008,3.259,0.009,2.801,0.01,4.2381,3.3481,2.651,2.409,8.66
7850,307.3953544,62.9941067,---,7942,60,3.532,0.025,0.5,0.073,4.178,0.01,4.194,0.008,4.243,0.008,4.2359,4.199,4.2795,3.3746,23.481
9072,359.8278778,6.8633211,---,6611,63,3.373,0.15,-0.176,0.171,4.139,0.011,4.024,0.009,3.958,0.01,4.2337,4.0358,3.9406,3.2154,30.2769
1544,72.6530125,8.9001803,---,9188,83,3.608,0.062,-0.5,0.0,4.22,0.01,4.311,0.011,4.43,0.012,4.2315,4.3065,4.4948,3.4667,14.53
5035,200.6580672,-60.9883939,---,14705,717,4.5,0.086,0.5,1.853,4.261,0.01,4.426,0.012,4.599,0.012,4.2312,4.4158,4.6903,3.5512,8.8824
191,10.8384933,-57.4630575,---,9411,86,3.677,0.1,-0.5,0.371,4.222,0.009,4.319,0.01,4.442,0.011,4.2298,4.3133,4.5095,3.4721,13.24
1387,66.3423544,22.2938717,---,8120,72,3.599,0.075,0.277,0.325,4.18,0.009,4.212,0.006,4.277,0.008,4.2286,4.2148,4.3188,3.3879,20.9119
6446,260.2069228,-12.8468758,---,9018,61,3.685,0.09,-0.5,0.323,4.205,0.009,4.288,0.008,4.401,0.009,4.2223,4.2839,4.4629,3.447,16.05
1298,62.9664147,-6.8375794,---,7084,40,3.347,0.113,0.21,0.129,4.132,0.011,4.063,0.009,4.037,0.008,4.2168,4.0719,4.0399,3.2543,26.8
5681,228.8756789,33.3148314,---,4825,31,2.669,0.517,-0.375,0.174,3.986,0.011,3.572,0.012,3.287,0.011,4.2165,3.6176,3.1873,2.7684,26.78
8131,318.9559664,5.2478453,---,6155,42,2.5,0.103,0.231,0.069,4.075,0.013,3.89,0.01,3.77,0.009,4.2148,3.9087,3.734,3.0947,17.14
7834,307.3488983,30.3685547,---,6469,97,1.755,0.134,-0.031,0.217,4.111,0.013,4.0,0.011,3.938,0.009,4.2141,4.0114,3.9237,3.1964,4.24
1389,66.3724308,17.927905,---,8909,58,3.911,0.069,0.2,0.74,4.182,0.01,4.255,0.01,4.36,0.012,4.2103,4.2539,4.4204,3.4207,21.0865
7750,302.2222844,77.7114208,---,9962,56,3.74,0.097,0.5,0.0,4.212,0.01,4.327,0.01,4.462,0.011,4.2086,4.3214,4.5351,3.4727,10.1788
5602,225.48651,40.3905669,---,5020,21,2.422,0.508,0.0,0.093,3.973,0.01,3.57,0.008,3.296,0.008,4.2067,3.6127,3.2036,2.7735,14.48
1696,78.0745914,-11.8692183,---,12411,110,4.493,0.103,0.5,0.0,4.217,0.011,4.362,0.011,4.52,0.012,4.2021,4.3537,4.6046,3.4973,14.07
4074,155.2287375,-56.0433167,---,13773,226,3.935,0.111,0.5,0.0,4.235,0.013,4.396,0.014,4.562,0.015,4.2015,4.3857,4.6496,3.5196,2.2692
8684,342.5008047,24.6015828,---,4969,38,2.983,0.429,-0.095,0.105,3.972,0.012,3.574,0.011,3.298,0.01,4.2007,3.6179,3.204,2.7732,28.934
126,7.8861169,-62.9582186,---,10687,85,4.478,0.07,0.5,0.0,4.194,0.01,4.314,0.011,4.457,0.012,4.1981,4.3085,4.535,3.4628,22.8384
4618,182.0217667,-50.6612703,---,18202,895,4.517,0.143,-2.0,1.853,4.233,0.011,4.406,0.012,4.592,0.013,4.1958,4.3929,4.6876,3.5284,9.1857
7234,286.7350372,-27.6704219,---,4520,36,2.102,0.301,0.017,0.236,3.914,0.01,3.393,0.01,3.028,0.011,4.1945,3.4579,2.9057,2.5747,28.3195
5378,215.7593292,-39.5118192,---,17487,1144,4.511,0.082,0.5,1.853,4.235,0.011,4.417,0.012,4.607,0.013,4.1929,4.4043,4.7054,3.5346,7.13
8848,349.3573842,-58.2357303,---,6726,41,3.545,0.127,-0.255,0.206,4.101,0.011,3.996,0.01,3.94,0.01,4.1884,4.0073,3.9266,3.1861,44.0808
3498,131.6772886,-56.7697756,---,16648,366,4.349,0.249,0.5,0.0,4.226,0.014,4.405,0.016,4.59,0.017,4.1854,4.3924,4.6861,3.5231,5.39
1231,59.5073622,-13.5085194,---,3691,54,0.856,0.274,-0.636,0.542,3.834,0.025,3.055,0.017,2.481,0.013,4.1839,3.1855,2.2963,2.1357,16.04
8305,326.2367061,-33.0257828,---,9985,63,4.0,0.024,0.5,0.0,4.18,0.008,4.293,0.009,4.427,0.01,4.1834,4.2878,4.5005,3.4418,15.3346
1136,55.8120869,-9.7633911,---,5126,44,4.131,0.468,0.306,0.105,3.957,0.011,3.583,0.007,3.307,0.007,4.1821,3.6314,3.2167,2.7776,110.0254
2199,92.9849872,14.2087656,---,16775,1233,4.204,0.2,-2.0,1.853,4.217,0.01,4.383,0.01,4.562,0.011,4.1807,4.3704,4.6546,3.5071,5.37
6581,265.3536369,-12.8753081,---,8554,86,3.627,0.087,0.0,0.148,4.15,0.009,4.212,0.01,4.306,0.012,4.1802,4.2112,4.36,3.3787,18.83
5744,231.2323942,58.966065,---,4623,29,2.638,0.194,0.425,0.066,3.9,0.011,3.386,0.012,3.014,0.008,4.1797,3.4545,2.8936,2.564,32.23
4102,156.098775,-74.0316122,---,7045,39,4.046,0.126,0.0,0.106,4.089,0.011,4.005,0.008,3.968,0.007,4.174,4.0153,3.965,3.1963,61.4342
6220,250.7240211,38.9222536,---,5084,25,3.117,0.303,0.0,0.049,3.95,0.01,3.573,0.01,3.312,0.009,4.1703,3.6142,3.2243,2.7748,30.02
4399,170.9810531,10.5295053,---,6719,79,3.639,0.116,0.075,0.143,4.064,0.01,3.95,0.008,3.886,0.008,4.1624,3.9621,3.8711,3.1439,42.24
4234,161.4458536,-80.5401883,---,18034,1376,4.5,0.17,-2.0,1.853,4.199,0.011,4.371,0.011,4.556,0.012,4.1621,4.358,4.6515,3.4937,9.3
2596,104.0342672,-17.0542408,---,15900,239,3.81,0.278,-0.5,0.371,4.196,0.01,4.359,0.01,4.533,0.01,4.1567,4.3456,4.6219,3.4815,0.9453
8576,337.8763767,-32.3460736,---,9248,3,3.89,0.097,-0.5,0.0,4.138,0.008,4.225,0.009,4.343,0.01,4.1557,4.2211,4.4076,3.3843,22.0836
5264,210.4116392,1.5445319,---,8248,5,3.36,0.091,-0.307,0.345,4.123,0.009,4.175,0.009,4.258,0.01,4.1553,4.1746,4.3058,3.3423,14.5
5903,236.0146622,77.7944942,---,8748,15,3.363,0.082,-1.0,0.0,4.136,0.01,4.215,0.011,4.323,0.012,4.1513,4.2114,4.3814,3.373,8.84
6281,253.5019647,10.1653606,---,11622,88,4.209,0.155,0.5,0.0,4.163,0.01,4.301,0.011,4.454,0.011,4.1493,4.2938,4.5355,3.4384,13.3
4374,169.545625,31.5293722,HR4375,5848,53,4.367,0.379,-0.421,0.143,4.0,0.011,3.775,0.008,3.627,0.007,4.1383,3.7966,3.5751,2.9745,114.4867
8858,349.4758906,-9.1825189,---,13923,170,4.084,0.171,0.5,0.0,4.169,0.012,4.331,0.012,4.498,0.012,4.1373,4.3206,4.5864,3.4551,8.12
1261,61.646015,50.3512639,---,9444,57,3.286,0.091,0.493,0.371,4.135,0.011,4.244,0.012,4.37,0.013,4.1323,4.2381,4.4389,3.3898,7.73
2159,91.8930244,14.7684739,---,15207,1316,4.5,0.164,0.5,1.853,4.163,0.012,4.332,0.012,4.508,0.013,4.131,4.3213,4.6009,3.4555,6.32
3192,122.2568225,-19.2450144,---,15639,1049,4.081,0.221,-2.0,1.853,4.164,0.013,4.324,0.014,4.497,0.015,4.1309,4.3118,4.5866,3.4503,7.01
7447,294.1803169,-1.2866003,---,12535,136,4.255,0.153,0.5,0.0,4.148,0.012,4.295,0.012,4.454,0.012,4.1273,4.287,4.5387,3.4278,5.6673
2124,90.5958194,9.6472728,---,7965,49,3.663,0.104,0.0,0.331,4.075,0.013,4.091,0.01,4.144,0.009,4.1265,4.0942,4.1807,3.2698,21.05
8146,319.4794794,34.8968969,---,18997,16,5.0,0.0,-0.126,0.349,4.16,0.009,4.336,0.01,4.525,0.011,4.1249,4.3233,4.6233,3.4591,5.012
4405,171.220515,-17.6840083,---,7965,50,3.847,0.081,0.248,0.177,4.065,0.011,4.071,0.009,4.117,0.01,4.1233,4.0753,4.1508,3.2537,37.7065
963,48.0188639,-28.9876206,---,6286,76,4.0,0.137,-0.267,0.163,4.01,0.011,3.846,0.009,3.741,0.008,4.1224,3.8618,3.7078,3.0409,71.4337
154,9.2202053,33.7193439,---,13950,889,4.279,0.162,0.5,1.853,4.147,0.012,4.307,0.012,4.475,0.013,4.1177,4.2972,4.5634,3.4331,5.45
1876,83.7051586,9.48958,---,22998,741,5.0,0.001,0.055,0.466,4.167,0.012,4.361,0.012,4.566,0.012,4.1176,4.3457,4.6718,3.4748,3.0
1705,78.3078233,-12.9412906,---,11774,104,3.913,0.169,0.5,0.0,4.137,0.01,4.28,0.011,4.433,0.011,4.1165,4.2715,4.5143,3.4125,4.48
7298,288.4395347,39.1459667,---,14967,253,3.829,0.181,0.5,0.0,4.153,0.01,4.323,0.011,4.497,0.012,4.1126,4.3112,4.5873,3.4421,2.35
5933,239.1132611,15.6616169,---,6353,55,4.013,0.17,-0.222,0.107,4.002,0.013,3.845,0.011,3.747,0.01,4.1118,3.8608,3.7162,3.0403,88.86
1320,63.8835694,8.8923561,---,14138,209,4.482,0.159,-0.5,0.371,4.133,0.012,4.281,0.013,4.447,0.014,4.1109,4.2707,4.533,3.4146,6.6651
3223,121.9824758,-68.6170653,---,12913,79,4.305,0.22,0.5,0.0,4.132,0.013,4.282,0.013,4.444,0.014,4.1093,4.2737,4.5293,3.4134,5.0597
718,37.0397611,8.4600558,---,10088,83,4.001,0.068,0.5,0.0,4.105,0.007,4.22,0.008,4.356,0.009,4.1057,4.2141,4.4297,3.3672,16.5681
5351,214.0959117,46.0883058,---,8764,69,4.0,0.031,-0.5,0.741,4.069,0.008,4.132,0.01,4.231,0.012,4.1011,4.1309,4.2878,3.3004,32.5885
919,45.5979142,-23.6244706,---,8069,42,3.763,0.084,0.012,0.31,4.049,0.01,4.071,0.01,4.129,0.012,4.0989,4.073,4.1683,3.2485,36.9502
7665,302.1817064,-66.1820678,---,5649,24,3.764,0.224,0.5,0.022,3.903,0.009,3.608,0.008,3.4,0.007,4.097,3.6409,3.3339,2.8143,163.9544
2782,109.6770267,-24.9543725,---,24217,741,5.0,0.0,0.191,0.847,4.147,0.014,4.344,0.014,4.554,0.015,4.0928,4.3285,4.6621,3.4562,1.09
7957,311.3223981,61.8387825,---,4856,39,3.623,0.447,-0.355,0.131,3.869,0.009,3.476,0.008,3.192,0.007,4.0915,3.5241,3.0941,2.6667,70.1
3457,130.1542817,-59.7610019,---,19542,452,4.42,0.316,-0.5,0.556,4.128,0.01,4.308,0.011,4.499,0.012,4.0832,4.294,4.5972,3.4259,2.26
8965,354.5341719,43.2680736,---,11337,73,3.823,0.16,0.5,0.0,4.093,0.011,4.231,0.011,4.38,0.012,4.074,4.2226,4.4601,3.3652,6.53
4537,177.4210858,-63.7884792,---,15020,769,4.314,0.277,0.5,1.853,4.107,0.012,4.276,0.014,4.451,0.015,4.0733,4.265,4.5425,3.3984,4.5957
6787,272.1895475,20.8145578,---,17973,1289,4.312,0.32,0.5,1.631,4.119,0.011,4.304,0.012,4.495,0.013,4.073,4.2903,4.5947,3.4192,3.56
2473,100.9830261,25.1311253,---,4364,22,1.153,0.952,0.241,0.484,3.753,0.014,3.137,0.008,2.719,0.009,4.0716,3.213,2.5817,2.309,3.86
5287,211.5929061,-26.6823617,---,4567,24,2.602,0.27,0.0,0.079,3.798,0.011,3.308,0.01,2.955,0.009,4.0647,3.3716,2.8366,2.4882,30.8889
6630,267.4645033,-37.043305,---,4492,37,2.466,0.284,0.142,0.147,3.783,0.009,3.258,0.01,2.878,0.012,4.0643,3.3293,2.7516,2.431,24.734
8418,331.6092808,-13.8696836,---,11638,104,4.5,0.074,0.5,0.0,4.07,0.011,4.205,0.011,4.358,0.012,4.0614,4.1979,4.44,3.3455,18.62
6698,269.7566331,-9.7736333,---,5002,38,1.5,0.507,0.0,0.092,3.813,0.012,3.389,0.011,3.106,0.008,4.0611,3.4328,3.011,2.5959,21.64
1145,56.3020658,24.4672806,---,12682,121,4.25,0.214,0.5,0.0,4.082,0.01,4.231,0.011,4.391,0.011,4.0604,4.2226,4.4757,3.3626,7.97
6299,254.4170744,9.3750314,---,4636,45,2.567,0.334,0.318,0.169,3.783,0.011,3.279,0.01,2.918,0.01,4.0592,3.3447,2.7999,2.461,37.1125
5649,228.0712331,-52.0992478,---,5030,26,3.529,0.353,0.0,0.038,3.835,0.01,3.452,0.01,3.182,0.009,4.0589,3.4968,3.0903,2.6504,27.8
5487,220.765095,-5.6582036,---,6733,62,3.841,0.139,-0.302,0.18,3.969,0.01,3.861,0.008,3.802,0.008,4.057,3.8725,3.7873,3.0509,54.73
6168,248.5257639,42.4370406,---,9683,110,3.593,0.103,0.0,0.371,4.057,0.011,4.164,0.012,4.295,0.014,4.0564,4.1578,4.3648,3.3124,10.856
4232,162.4062031,-16.1936489,---,4396,28,1.905,0.361,0.0,0.161,3.758,0.011,3.208,0.01,2.82,0.011,4.0488,3.2784,2.6897,2.3814,23.794
280,14.6514972,-29.3574514,---,14443,658,3.697,0.26,-2.0,1.853,4.082,0.011,4.235,0.012,4.401,0.013,4.0488,4.2224,4.4858,3.3619,4.2
6023,242.1924061,44.9349072,---,11009,50,4.226,0.126,0.5,0.0,4.054,0.011,4.183,0.011,4.33,0.011,4.0467,4.1765,4.4098,3.325,13.5751
3129,119.5601633,-49.2449111,---,24998,1149,5.0,0.0,-1.647,1.177,4.099,0.015,4.298,0.016,4.506,0.018,4.0464,4.2827,4.6139,3.4089,3.4
509,26.0170142,-15.9374794,---,5383,70,5.0,0.0,-0.453,0.154,3.866,0.014,3.569,0.01,3.36,0.008,4.0451,3.6021,3.2877,2.7681,273.8097
335,17.3755233,47.2417942,---,11733,271,3.818,0.148,-0.203,1.11,4.057,0.009,4.191,0.008,4.342,0.009,4.0378,4.1819,4.4212,3.3274,4.55
1497,70.5612567,22.9569225,---,15596,328,4.723,0.228,-2.0,0.0,4.057,0.009,4.212,0.01,4.386,0.01,4.0342,4.2017,4.476,3.3448,8.231
5285,211.5115344,-41.1796331,---,18730,1483,5.0,0.0,-2.0,1.853,4.063,0.015,4.235,0.016,4.423,0.017,4.031,4.2227,4.5207,3.3607,6.39
4630,182.5311692,-22.6197672,---,4291,35,1.656,0.183,0.149,0.208,3.719,0.008,3.117,0.008,2.691,0.011,4.0285,3.1971,2.5503,2.278,10.26
6920,275.1893011,71.3378194,---,11739,76,4.5,0.04,0.5,0.0,4.033,0.01,4.17,0.011,4.324,0.011,4.0243,4.1629,4.4064,3.31,10.77
1336,63.6061839,-62.4738589,---,5105,38,2.5,0.408,0.0,0.082,3.798,0.01,3.418,0.01,3.16,0.01,4.0214,3.458,3.0729,2.6232,20.18
7254,287.3680875,-37.9044728,---,8863,84,3.689,0.12,0.2,0.371,3.991,0.006,4.068,0.007,4.174,0.01,4.0147,4.066,4.2342,3.2304,26.02
3615,135.6116497,-66.3960758,---,8388,102,4.0,0.026,0.5,0.0,3.961,0.009,4.0,0.009,4.072,0.013,4.0124,4.0029,4.1196,3.1772,26.11
